Set,Price_Euro,Pieces,Minifigs
Desert Rally Racer,9.99,75,1 (1 unique to this set)
Construction Loader,9.99,88,1 (1 unique to this set)
Garbage Truck,19.99,90,2 (2 unique to this set)
Diving Yacht,19.99,148,2 (2 unique to this set)
Snow Groomer,19.49,197,2 (2 unique to this set)
Harvester Transport,29.99,358,3 (3 unique to this set)
Satellite Service Mission,9.74,84,1
Rover Testing Drive,19.49,202,2
Mars Research Shuttle,29.99,273,2 (1 unique to this set)
Lunar Space Station,48.73,412,5 (4 unique to this set)
Deep Space Rocket and Launch Control,99.99,837,7 (3 unique to this set)
Rocket Assembly & Transport,129.99,1055,8 (3 unique to this set)
People Pack - Space Research and Development,38.98,209,15 (12 unique to this set)
Fire Chief Response Truck,19.49,201,2
Garage Centre,38.98,234,4 (3 unique to this set)
Donut Shop Opening,79.99,790,10 (8 unique to this set)
People Pack - Fun Fair,38.98,183,14 (13 unique to this set)
LEGO City Advent Calendar,19.99,234,8 (5 unique to this set)
Straight & T-Junction,9.74,2,
Curves & Crossroad,9.74,2,
Police Patrol Car,9.99,92,1
Kayak Adventure,9.99,84,1 (1 unique to this set)
Super Pack 3-in-1,NaN,NaN,
Super Pack 2-in-1,NaN,NaN,
Super Pack 2-in-1,NaN,NaN,
Bonus/Value pack,NaN,218,
Bonus/Value pack,NaN,125,
2-in-1 Value Pack: Star-Lord & Gamora,NaN,249,
Super Pack 3-in-1,NaN,NaN,
Super Pack 3-in-1,NaN,NaN,
Super Pack 3-in-1,NaN,NaN,
J.B.'s Ghost Lab,19.99,174,3
Wrecked Shrimp Boat,29.23,310,4 (2 unique to this set)
Graveyard Mystery,29.23,335,4 (1 unique to this set)
El Fuego's Stunt Truck,38.98,428,4 (3 unique to this set)
Shrimp Shack Attack,48.73,579,5 (3 unique to this set)
Paranormal Intercept Bus 3000,58.48,689,5 (3 unique to this set)
Ghost Train Express,77.97,698,6 (3 unique to this set)
Newbury Haunted High School,116.97,1474,8 (4 unique to this set)
Spinjitzu Kai,9.99,97,1
Spinjitzu Jay,9.99,97,1
Spinjitzu Zane,9.99,109,1
Spinjitzu Cole,9.99,117,1
Spinjitzu Nya & Wu,19.99,227,2
Spinjitzu Lloyd vs. Garmadon,19.99,208,2
